
# Surface 0 of 1 surfaces

# Curve title: ""MiniProj2_ProjectionMethod_contourtmp0.dat""

# Contour 0, label:  0.00025
 0.13066  0.117647  0.00025 
 0.117647  0.0689013  0.00025 
 0.0769604  0.117647  0.00025 
 0.117647  0.12518  0.00025 
 0.13066  0.117647  0.00025 

# Contour 1, label: 
 0.183192  0.0588235  0.00025 
 0.176471  0.0614925  0.00025 
 0.150158  0.0588235  0.00025 

# Contour 2, label: 
 0.941176  0.126643  0.00025 
 0.936085  0.117647  0.00025 
 0.903143  0.0588235  0.00025 


# Contour 3, label:   0.0001
 0.250609  0.0588235  0.0001 
 0.235294  0.0631693  0.0001 
 0.176471  0.101269  0.0001 
 0.16311  0.117647  0.0001 
 0.117647  0.143965  0.0001 
 0.0656724  0.176471  0.0001 
 0.0588235  0.181613  0.0001 

# Contour 4, label: 
 0.941176  0.136228  0.0001 
 0.930661  0.117647  0.0001 
 0.882353  0.0616298  0.0001 
 0.879188  0.0588235  0.0001 


# Contour 5, label:    5e-05
 0.261249  0.0588235  5e-05 
 0.235294  0.0661884  5e-05 
 0.176471  0.114528  5e-05 
 0.173926  0.117647  5e-05 
 0.117647  0.150227  5e-05 
 0.0756847  0.176471  5e-05 
 0.0588235  0.189129  5e-05 

# Contour 6, label: 
 0.941176  0.139423  5e-05 
 0.928853  0.117647  5e-05 
 0.882353  0.0637263  5e-05 
 0.876823  0.0588235  5e-05 


# Contour 7, label:    1e-05
 0.26976  0.0588235  1e-05 
 0.235294  0.0686037  1e-05 
 0.178447  0.117647  1e-05 
 0.176471  0.118888  1e-05 
 0.117647  0.155237  1e-05 
 0.0836944  0.176471  1e-05 
 0.0588235  0.195142  1e-05 

# Contour 8, label: 
 0.941176  0.141979  1e-05 
 0.927407  0.117647  1e-05 
 0.882353  0.0654035  1e-05 
 0.874931  0.0588235  1e-05 


# Contour 9, label:    1e-06
 0.271675  0.0588235  1e-06 
 0.235294  0.0691471  1e-06 
 0.179077  0.117647  1e-06 
 0.176471  0.119284  1e-06 
 0.117647  0.156364  1e-06 
 0.0854966  0.176471  1e-06 
 0.0588235  0.196495  1e-06 

# Contour 10, label: 
 0.941176  0.142554  1e-06 
 0.927081  0.117647  1e-06 
 0.882353  0.0657809  1e-06 
 0.874506  0.0588235  1e-06 


# Contour 11, label:    1e-07
 0.271867  0.0588235  1e-07 
 0.235294  0.0692015  1e-07 
 0.17914  0.117647  1e-07 
 0.176471  0.119323  1e-07 
 0.117647  0.156476  1e-07 
 0.0856768  0.176471  1e-07 
 0.0588235  0.19663  1e-07 

# Contour 12, label: 
 0.941176  0.142611  1e-07 
 0.927049  0.117647  1e-07 
 0.882353  0.0658186  1e-07 
 0.874463  0.0588235  1e-07 


# Contour 13, label:    1e-08
 0.271886  0.0588235  1e-08 
 0.235294  0.0692069  1e-08 
 0.179147  0.117647  1e-08 
