x	y	u	v
0.00775194	0.00775194	6.63365e-05	-6.63365e-05
0.00775194	0.0155039	9.78334e-06	-7.61198e-05
0.00775194	0.0232558	-1.64097e-05	-5.97101e-05
0.00775194	0.0310078	-2.85437e-05	-3.11664e-05
0.00775194	0.0387597	-3.41755e-05	3.00902e-06
0.00775194	0.0465116	-3.68078e-05	3.98168e-05
0.00775194	0.0542636	-3.80646e-05	7.78815e-05
0.00775194	0.0620155	-3.86988e-05	0.00011658
0.00775194	0.0697674	-3.90592e-05	0.000155639
0.00775194	0.0775194	-3.93077e-05	0.000194947
0.00775194	0.0852713	-3.95195e-05	0.000234467
0.00775194	0.0930233	-3.97295e-05	0.000274196
0.00775194	0.100775	-3.9954e-05	0.00031415
0.00775194	0.108527	-4.02006e-05	0.000354351
0.00775194	0.116279	-4.04731e-05	0.000394824
0.00775194	0.124031	-4.07732e-05	0.000435597
0.00775194	0.131783	-4.11022e-05	0.000476699
0.00775194	0.139535	-4.14605e-05	0.00051816
0.00775194	0.147287	-4.18488e-05	0.000560009
0.00775194	0.155039	-4.22675e-05	0.000602276
0.00775194	0.162791	-4.2717e-05	0.000644993
0.00775194	0.170543	-4.31978e-05	0.000688191
0.00775194	0.178295	-4.37105e-05	0.000731901
0.00775194	0.186047	-4.42555e-05	0.000776157
0.00775194	0.193798	-4.48333e-05	0.00082099
0.00775194	0.20155	-4.54447e-05	0.000866435
0.00775194	0.209302	-4.60902e-05	0.000912525
0.00775194	0.217054	-4.67706e-05	0.000959296
0.00775194	0.224806	-4.74865e-05	0.00100678
0.00775194	0.232558	-4.82387e-05	0.00105502
0.00775194	0.24031	-4.90282e-05	0.00110405
0.00775194	0.248062	-4.98556e-05	0.0011539
0.00775194	0.255814	-5.07221e-05	0.00120463
0.00775194	0.263566	-5.16286e-05	0.00125626
0.00775194	0.271318	-5.25761e-05	0.00130883
0.00775194	0.27907	-5.35658e-05	0.0013624
0.00775194	0.286822	-5.45989e-05	0.001417
0.00775194	0.294574	-5.56767e-05	0.00147267
0.00775194	0.302326	-5.68004e-05	0.00152947
0.00775194	0.310078	-5.79717e-05	0.00158745
0.00775194	0.317829	-5.9192e-05	0.00164664
0.00775194	0.325581	-6.04628e-05	0.0017071
0.00775194	0.333333	-6.17861e-05	0.00176889
0.00775194	0.341085	-6.31636e-05	0.00183205
0.00775194	0.348837	-6.45973e-05	0.00189665
0.00775194	0.356589	-6.60893e-05	0.00196274
0.00775194	0.364341	-6.76419e-05	0.00203038
0.00775194	0.372093	-6.92574e-05	0.00209964
0.00775194	0.379845	-7.09385e-05	0.00217057
0.00775194	0.387597	-7.26878e-05	0.00224326
0.00775194	0.395349	-7.45082e-05	0.00231777
0.00775194	0.403101	-7.6403e-05	0.00239417
0.00775194	0.410853	-7.83755e-05	0.00247255
0.00775194	0.418605	-8.04292e-05	0.00255298
0.00775194	0.426357	-8.25681e-05	0.00263555
0.00775194	0.434109	-8.47963e-05	0.00272034
0.00775194	0.44186	-8.71183e-05	0.00280746
0.00775194	0.449612	-8.95388e-05	0.002897
0.00775194	0.457364	-9.20631e-05	0.00298906
0.00775194	0.465116	-9.46968e-05	0.00308376
0.00775194	0.472868	-9.74459e-05	0.00318121
0.00775194	0.48062	-0.000100317	0.00328152
0.00775194	0.488372	-0.000103317	0.00338484
0.00775194	0.496124	-0.000106454	0.00349129
0.00775194	0.503876	-0.000109735	0.00360103
0.00775194	0.511628	-0.000113171	0.0037142
0.00775194	0.51938	-0.000116771	0.00383097
0.00775194	0.527132	-0.000120545	0.00395151
0.00775194	0.534884	-0.000124505	0.00407602
0.00775194	0.542636	-0.000128664	0.00420468
0.00775194	0.550388	-0.000133037	0.00433772
0.00775194	0.55814	-0.000137637	0.00447536
0.00775194	0.565891	-0.000142483	0.00461784
0.00775194	0.573643	-0.000147592	0.00476543
0.00775194	0.581395	-0.000152985	0.00491842
0.00775194	0.589147	-0.000158685	0.0050771
0.00775194	0.596899	-0.000164715	0.00524182
0.00775194	0.604651	-0.000171104	0.00541292
0.00775194	0.612403	-0.000177883	0.00559081
0.00775194	0.620155	-0.000185084	0.00577589
0.00775194	0.627907	-0.000192746	0.00596864
0.00775194	0.635659	-0.000200911	0.00616955
0.00775194	0.643411	-0.000209626	0.00637917
0.00775194	0.651163	-0.000218944	0.00659812
0.00775194	0.658915	-0.000228926	0.00682704
0.00775194	0.666667	-0.000239638	0.00706668
0.00775194	0.674419	-0.000251156	0.00731784
0.00775194	0.682171	-0.000263568	0.0075814
0.00775194	0.689922	-0.000276972	0.00785838
0.00775194	0.697674	-0.000291481	0.00814986
0.00775194	0.705426	-0.000307223	0.00845708
0.00775194	0.713178	-0.000324349	0.00878143
0.00775194	0.72093	-0.00034303	0.00912446
0.00775194	0.728682	-0.000363466	0.00948793
0.00775194	0.736434	-0.000385889	0.00987382
0.00775194	0.744186	-0.000410574	0.0102844
0.00775194	0.751938	-0.000437841	0.0107222
0.00775194	0.75969	-0.000468071	0.0111903
0.00775194	0.767442	-0.000501718	0.011692
0.00775194	0.775194	-0.000539325	0.0122313
0.00775194	0.782946	-0.000581548	0.0128129
0.00775194	0.790698	-0.000629183	0.0134421
0.00775194	0.79845	-0.000683208	0.0141253
0.00775194	0.806202	-0.000744826	0.0148701
0.00775194	0.813953	-0.00081554	0.0156856
0.00775194	0.821705	-0.000897239	0.0165829
0.00775194	0.829457	-0.000992325	0.0175752
0.00775194	0.837209	-0.00110388	0.0186791
0.00775194	0.844961	-0.00123593	0.019915
0.00775194	0.852713	-0.00139375	0.0213088
